geneSym,FC_ADvsNCI,LOG10 FC,t_ADvsNCI,p_ADvsNCI,,,,,,,
MCTS1,0.93274834,-0.030235515,-0.80642486,0.446525796,,,,,,,
MEPCE,1.03565577,0.015215429,0.80619379,0.446650517,,,,,,,
ANKRD17,0.940381964,-0.026695709,-0.805768097,0.44688035,,,,,,,
DYNLT2B,0.865629051,-0.062668177,-0.805215966,0.447178571,,,,,,,
APOL1,0.744704278,-0.128016152,-0.803975273,0.44784921,,,,,,,
SERPINB6,1.041503315,0.017660657,0.803948365,0.447863762,,,,,,,
TYROBP,0.879467932,-0.055779992,-0.80372204,0.447986177,,,,,,,
CIAO1,0.937612694,-0.027976522,-0.803478833,0.448117749,,,,,,,
DNAJB4,1.093320418,0.038747459,0.803019505,0.448366313,,,,,,,
RAE1,1.021297011,0.009152061,0.802771453,0.448500586,,,,,,,
DYNLRB1,1.172184077,0.068995817,0.802577534,0.448605575,,,,,,,
KIF21B,1.326168465,0.122598697,0.802271616,0.448771237,,,,,,,
DENND2B,0.90188699,-0.044847878,-0.801850056,0.448999591,,,,,,,
PPT2,1.175850484,0.070352102,0.801815059,0.449018552,,,,,,,
STK11IP,0.913814662,-0.039141878,-0.800656749,0.449646429,,,,,,,
CRELD1,0.828318435,-0.081802673,-0.800579644,0.449688246,,,,,,,
ALG2,0.904411016,-0.043634157,-0.800522939,0.449719002,,,,,,,
GPC1,0.919857508,-0.036279442,-0.800390591,0.44979079,,,,,,,
KIAA0586,1.607922245,0.206265043,0.800234412,0.449875514,,,,,,,
UQCC6,1.061185728,0.0257914,0.799570576,0.450235758,,,,,,,
C1QA,0.774856616,-0.110778655,-0.799468879,0.450290963,,,,,,,
ECE1,1.024232719,0.010398645,0.79928818,0.450389066,,,,,,,
LRRFIP2,0.920665965,-0.035897912,-0.799227675,0.450421918,,,,,,,
SOX9,0.901841772,-0.044869653,-0.798952977,0.450571089,,,,,,,
EIF2AK4,0.928759195,-0.032096874,-0.7984486,0.450845075,,,,,,,
SLC5A5,0.74985801,-0.125020965,-0.798213325,0.45097292,,,,,,,
GRIN3B,0.894554122,-0.048393379,-0.797628355,0.451290892,,,,,,,
PTGER3,1.116597688,0.047896724,-0.797619102,0.451295922,,,,,,,
SLC2A4,1.014803225,0.006381839,0.797419341,0.451404543,,,,,,,
NUDCD2,1.066585484,0.027995669,0.797154888,0.451548368,,,,,,,
PDCD11,0.898343843,-0.046557404,-0.797115509,0.451569787,,,,,,,
MB,1.939375265,0.287661852,0.797060659,0.451599623,,,,,,,
LRWD1,0.928611519,-0.032165933,-0.796432963,0.451941154,,,,,,,
ARVCF,1.049643762,0.021041929,0.796288971,0.452019526,,,,,,,
MANBAL,0.907275491,-0.042260821,-0.796281215,0.452023747,,,,,,,
CTCF,1.045195376,0.01919748,0.796041147,0.452154433,,,,,,,
FHL5,0.77047456,-0.113241697,-0.795947965,0.452205166,,,,,,,
APOH,0.819766915,-0.086309614,-0.795875871,0.45224442,,,,,,,
ADSL,0.958339271,-0.018480715,-0.795676833,0.452352804,,,,,,,
MAT2B,1.287607868,0.109783622,0.79537628,0.452516503,,,,,,,
FUBP3,0.999097861,-0.000391971,0.795338882,0.452536875,,,,,,,
GHDC,0.963938974,-0.01595046,-0.795326665,0.45254353,,,,,,,
DACT2,0.727916445,-0.137918469,-0.795092084,0.45267133,,,,,,,
FKRP,0.922908853,-0.034841188,-0.794936066,0.452756343,,,,,,,
PTBP3,0.865908696,-0.062527899,-0.794705886,0.452881786,,,,,,,
PRRT3,1.219412167,0.086150524,0.793303548,0.453646549,,,,,,,
NUDT2,1.145175286,0.058871967,0.793166565,0.4537213,,,,,,,
VAPB,1.023323032,0.010012749,0.793109179,0.453752618,,,,,,,
GPX4,1.053549171,0.02265481,0.792649216,0.454003693,,,,,,,
CD59,1.097701539,0.040484273,0.792356289,0.45416364,,,,,,,
RHOC,1.034281508,0.01463876,0.792335653,0.45417491,,,,,,,
ACADVL,1.195774973,0.07764946,0.7923181,0.454184495,,,,,,,
CTH,0.98505953,-0.006537523,-0.791857357,0.454436162,,,,,,,
SRRM1,0.881732269,-0.054663265,-0.791805145,0.454464687,,,,,,,
NAT8L,0.897399075,-0.047014383,-0.791761024,0.454488793,,,,,,,
PRNP,1.314504971,0.118762233,0.791452875,0.454657177,,,,,,,
CD14,0.793636247,-0.100378505,-0.791182922,0.454804724,,,,,,,
HEATR1,0.95269664,-0.021045366,-0.791060322,0.454871744,,,,,,,
TRIM10,0.98127491,-0.008209305,-0.790878166,0.454971334,,,,,,,
ZNF330,0.957927627,-0.018667301,-0.790795887,0.455016323,,,,,,,
ENPP6,1.365295963,0.135226806,0.790733358,0.455050515,,,,,,,
PTPN18,1.087403237,0.036390622,0.790722455,0.455056477,,,,,,,
FBLN2,0.813762567,-0.089502291,-0.790707752,0.455064517,,,,,,,
SAP130,1.03871967,0.016498356,0.790573799,0.455137773,,,,,,,
SEMA3B,1.487282539,0.172393479,0.79047886,0.455189697,,,,,,,
MCM3AP,0.952009696,-0.021358628,-0.790333238,0.45526935,,,,,,,
TCTN2,0.918479474,-0.036930545,-0.790150178,0.455369495,,,,,,,
SEMA7A,1.126750481,0.051827752,0.790001853,0.455450648,,,,,,,
ARF3,0.965516876,-0.015240131,-0.78993839,0.455485373,,,,,,,
CD8A,1.207264557,0.081802451,0.789820043,0.455550135,,,,,,,
SCOC,1.123414862,0.050540165,0.789187433,0.45589642,,,,,,,
BRAP,1.050484094,0.021389481,0.789116687,0.455935157,,,,,,,
SMARCA2,0.89111031,-0.050068531,-0.789046776,0.455973439,,,,,,,
FAM3C,0.840139547,-0.075648572,-0.788549577,0.45624576,,,,,,,
WDFY1,0.908175639,-0.041830152,-0.78844922,0.45630074,,,,,,,
PTPN14,1.058683316,0.024766069,0.788419267,0.456317151,,,,,,,
SLC30A1,0.849529536,-0.070821517,-0.788210222,0.456431693,,,,,,,
SLC20A1,0.849203485,-0.070988232,-0.788048262,0.456520449,,,,,,,
DBT,1.083762446,0.034934098,0.787892965,0.456605566,,,,,,,
SYNCRIP,0.992380531,-0.003321765,0.787739585,0.456689642,,,,,,,
HNMT,1.079067028,0.033048423,0.787399758,0.456875958,,,,,,,
SLC7A11,1.296040828,0.112618683,0.787355015,0.456900493,,,,,,,
CYBRD1,1.145373947,0.0589473,0.786968938,0.457112238,,,,,,,
SEC24C,0.931485436,-0.030823931,-0.786945526,0.45712508,,,,,,,
EDC4,0.939486463,-0.027109473,-0.78676235,0.45722557,,,,,,,
ENO2,1.484423299,0.171557762,0.786508701,0.457364744,,,,,,,
POU2F1,1.100947744,0.041766706,0.786253325,0.457504896,,,,,,,
GRTP1,1.071548217,0.030011718,0.786226219,0.457519774,,,,,,,
HTRA1,1.117782576,0.048357335,0.786033731,0.457625435,,,,,,,
UBQLN4,1.043729161,0.018587818,0.78603158,0.457626615,,,,,,,
VEPH1,0.958317989,-0.01849036,-0.785581778,0.457873587,,,,,,,
KHDRBS1,1.022382717,0.009613499,0.785553079,0.457889347,,,,,,,
KIF13A,0.944373922,-0.024856014,-0.785445775,0.45794828,,,,,,,
CDK7,0.97102032,-0.012771682,-0.785049642,0.458165883,,,,,,,
DDX42,0.872304767,-0.059331754,-0.785048161,0.458166697,,,,,,,
PALLD,0.886009385,-0.052561678,-0.784770419,0.458319309,,,,,,,
SHMT1,1.075804352,0.031733297,0.78474929,0.45833092,,,,,,,
EXOC8,0.921658755,-0.035429847,-0.784068431,0.458705188,,,,,,,
COL4A5,0.995110833,-0.002128546,0.783880745,0.458808396,,,,,,,
CDC42EP4,1.101508753,0.041987953,0.783869444,0.458814611,,,,,,,
SLC16A10,0.896820229,-0.047294604,-0.783744316,0.458883428,,,,,,,
LBH,0.921565795,-0.035473653,-0.783691474,0.458912492,,,,,,,
ANTXR1,0.909707338,-0.041098302,-0.783686466,0.458915247,,,,,,,
TINAGL1,1.030124786,0.012889837,0.783616461,0.458953752,,,,,,,
RFC3,0.929882263,-0.031572036,-0.78355531,0.45898739,,,,,,,
ACYP1,0.977697408,-0.009795536,-0.783469802,0.459034428,,,,,,,
EFR3A,0.867441349,-0.06175988,-0.783290142,0.459133271,,,,,,,
MEGF8,0.966857143,-0.01463769,-0.783261786,0.459148873,,,,,,,
QTRT1,0.90127551,-0.04514243,-0.783216196,0.459173958,,,,,,,
TMCC3,1.177187515,0.070845647,0.783006344,0.459289437,,,,,,,
CYP7B1,0.830743003,-0.080533308,-0.782740483,0.459435765,,,,,,,
VPS13D,0.979834692,-0.008847188,-0.782534598,0.459549106,,,,,,,
CHORDC1,1.165830036,0.06663524,0.782523089,0.459555442,,,,,,,
CDC40,0.915094477,-0.038534066,-0.782442695,0.459599705,,,,,,,
CEP20,1.133296913,0.054343706,0.782389502,0.459628993,,,,,,,
NHERF1,0.882639768,-0.054216509,-0.781991538,0.459848154,,,,,,,
FOCAD,0.895404802,-0.047980581,-0.78181888,0.459943259,,,,,,,
GTF3C1,0.856041349,-0.067505257,-0.781646747,0.46003809,,,,,,,
RBBP5,0.913404687,-0.039336764,-0.780974724,0.460408443,,,,,,,
PGAP1,0.899435028,-0.046030203,-0.780957568,0.460417901,,,,,,,
PHKG2,0.946177627,-0.024027325,-0.780759262,0.460527228,,,,,,,
TOMM70,1.054346803,0.022983486,0.780729082,0.460543868,,,,,,,
NUDCD1,0.940740336,-0.026530235,-0.780300505,0.460780213,,,,,,,
RHOQ,0.940236642,-0.026762828,-0.780099408,0.460891139,,,,,,,
AP1S2,0.867374143,-0.061793529,-0.780042189,0.460922704,,,,,,,
AKT1,0.924450724,-0.034116233,-0.779898425,0.461002021,,,,,,,
SUN2,0.997878648,-0.00092227,0.779288072,0.461338862,,,,,,,
MAN2B1,0.879890601,-0.055571321,-0.779213043,0.461380281,,,,,,,
GLS,1.255291711,0.098744661,0.778908344,0.461548512,,,,,,,
CCN5,0.822942618,-0.084630446,-0.778550203,0.461746302,,,,,,,
LILRB1,0.91439192,-0.03886762,-0.778457617,0.461797445,,,,,,,
KIAA1671,0.902580061,-0.044514265,-0.778386972,0.46183647,,,,,,,
BBS5,0.854016466,-0.068533756,-0.778217903,0.461929874,,,,,,,
QPRT,1.242813971,0.094406127,0.778019667,0.462039409,,,,,,,
CYP2U1,0.944613975,-0.024745634,-0.7775475,0.462300375,,,,,,,
ARHGEF16,1.046619068,0.019788643,-0.777481679,0.462336762,,,,,,,
OVCA2,0.885699069,-0.052713812,-0.777245816,0.462467168,,,,,,,
NMT2,0.906270598,-0.04274211,-0.775794867,0.463269934,,,,,,,
LGALS9,0.898367741,-0.046545851,-0.775623358,0.463364888,,,,,,,
MAP3K7,0.927793528,-0.032548661,-0.775605584,0.463374729,,,,,,,
COPG2,0.866701888,-0.062130257,-0.775467472,0.463451204,,,,,,,
DDX23,0.902945378,-0.044338521,-0.775290662,0.463549119,,,,,,,
CRTC1,1.168880907,0.067770265,0.775144982,0.463629804,,,,,,,
ZFR,0.931805794,-0.030674593,-0.775142742,0.463631045,,,,,,,
NPR2,1.008762657,0.003788997,-0.774960703,0.463731883,,,,,,,
RPL6,0.870031551,-0.060464998,-0.774807577,0.463816716,,,,,,,
ARL14EP,0.864802758,-0.063082934,-0.774609774,0.463926316,,,,,,,
TPMT,0.939907919,-0.026914691,-0.774564662,0.463951315,,,,,,,
MBOAT2,0.823242333,-0.084472305,-0.774306495,0.464094394,,,,,,,
SPTA1,1.063663357,0.026804198,-0.774244787,0.464128598,,,,,,,
PPP1R14B,0.875461007,-0.057763193,-0.773756574,0.464399267,,,,,,,
VAMP8,0.766495291,-0.115490509,-0.773612959,0.464478909,,,,,,,
SLC9A7,0.924188836,-0.034239282,-0.77333993,0.464630343,,,,,,,
CTSD,0.721183287,-0.141954346,-0.772692801,0.464989405,,,,,,,
MLST8,1.017065999,0.007349136,0.772428621,0.465136041,,,,,,,
ABCC1,0.911965454,-0.040021613,-0.772363393,0.465172251,,,,,,,
ZC3H13,0.928448488,-0.032242187,-0.772344459,0.465182762,,,,,,,
PCP4,0.867275108,-0.061843118,-0.771749432,0.465513175,,,,,,,
CYGB,0.86206569,-0.06445964,-0.771660582,0.465562526,,,,,,,
SBDS,1.092751023,0.038521222,0.77162462,0.465582502,,,,,,,
FMN2,0.94449374,-0.024800916,-0.770909376,0.465979922,,,,,,,
PCYT2,1.20589034,0.081307816,0.770759038,0.466063486,,,,,,,
SGCB,1.119676203,0.049092448,0.770456666,0.466231587,,,,,,,
CRK,1.056061574,0.023689241,0.770422155,0.466250775,,,,,,,
AKNA,0.834300693,-0.078677396,-0.769940332,0.466518733,,,,,,,
FABP4,0.642426068,-0.192176845,-0.769919007,0.466530595,,,,,,,
LMBRD1,0.802944205,-0.095314632,-0.769676741,0.466665369,,,,,,,
TRRAP,0.975457845,-0.010791494,-0.769198665,0.466931403,,,,,,,
PCDHA9,1.043913285,0.018664425,0.769137648,0.466965365,,,,,,,
RBM18,0.765957447,-0.115795357,-0.769103915,0.466984141,,,,,,,
GIPC2,0.885336084,-0.052891835,-0.768994033,0.467045306,,,,,,,
YTHDC2,0.916106824,-0.038053882,-0.768704271,0.467206626,,,,,,,
BAG5,0.91099635,-0.040483363,-0.768405297,0.467373115,,,,,,,
CLTC,0.910078952,-0.04092093,-0.76836064,0.467397987,,,,,,,
STRN,0.998946768,-0.000457654,0.767730632,0.467748962,,,,,,,
GDAP2,0.949759622,-0.022386298,-0.767548267,0.46785059,,,,,,,
PALMD,0.849112238,-0.0710349,-0.766789875,0.468273388,,,,,,,
PLXNB1,1.279285646,0.106967527,0.766573066,0.468394304,,,,,,,
GPAT4,0.908731106,-0.041564605,-0.766571552,0.468395149,,,,,,,
SPA17,0.783068783,-0.106200089,-0.766048141,0.468687149,,,,,,,
PRMT9,0.899303473,-0.046093729,-0.765905778,0.468766592,,,,,,,
FUNDC2,1.127148855,0.051981274,0.765560126,0.468959514,,,,,,,
CHMP4B,1.049125786,0.020827561,0.765549649,0.468965362,,,,,,,
HIVEP3,2.316455696,0.364823998,0.765519745,0.468982055,,,,,,,
CAAP1,1.046480477,0.019731131,0.765412069,0.469042166,,,,,,,
EPHX1,1.062001443,0.026125107,0.765215517,0.469151907,,,,,,,
LTN1,1.061815527,0.026049072,0.765139469,0.469194371,,,,,,,
DVL3,1.090675791,0.037695674,0.764764333,0.469403881,,,,,,,
NEK1,1.110853432,0.045656761,0.764707954,0.469435374,,,,,,,
REEP2,1.17430724,0.069781739,0.764404682,0.469604803,,,,,,,
STXBP4,1.08395779,0.035012371,0.764377416,0.469620037,,,,,,,
EYA4,0.89970417,-0.045900267,-0.764348525,0.469636181,,,,,,,
HSD17B10,1.067863055,0.028515561,0.764347475,0.469636767,,,,,,,
CUX2,0.834895638,-0.078367808,-0.764283833,0.469672329,,,,,,,
POLR1B,0.941730088,-0.026073554,-0.764227525,0.469703794,,,,,,,
RAB33B,1.015736047,0.006780865,0.76416728,0.469737461,,,,,,,
NELFE,0.93109964,-0.031003841,-0.764089288,0.469781047,,,,,,,
DCTPP1,0.834175471,-0.078742585,-0.764028655,0.469814935,,,,,,,
BCL10,1.068553737,0.028796368,0.763894888,0.469889702,,,,,,,
OCRL,0.888828743,-0.05118191,-0.762625087,0.470599842,,,,,,,
CDC26,0.926091792,-0.033345965,-0.762624672,0.470600075,,,,,,,
CHCHD10,0.665448985,-0.176885233,-0.762582523,0.470623659,,,,,,,
PUF60,0.907635973,-0.0420883,-0.762532742,0.470651515,,,,,,,
MAP2K1,1.200855375,0.079490706,0.762359752,0.470748324,,,,,,,
SNIP1,1.030914416,0.013222613,0.762233409,0.470819037,,,,,,,
KCNJ13,0.674213464,-0.171202579,-0.761516951,0.471220165,,,,,,,
PTS,1.092613799,0.038466681,0.761448119,0.471258714,,,,,,,
NOLC1,0.916593347,-0.0378233,-0.760925688,0.471551373,,,,,,,
GTF3C6,0.907265774,-0.042265472,-0.760721573,0.471665749,,,,,,,
DDX41,0.913016191,-0.039521521,-0.760477027,0.471802805,,,,,,,
TNFAIP8L2,0.901255514,-0.045152065,-0.760131794,0.471996337,,,,,,,
CRTAC1,0.85558284,-0.067737935,-0.759883639,0.472135482,,,,,,,
APP,1.153594949,0.062053346,0.75984095,0.472159421,,,,,,,
ST13,1.10305075,0.042595494,0.759521495,0.472338592,,,,,,,
NHERF2,1.05608914,0.023700577,0.759337375,0.472441879,,,,,,,
LRRFIP1,0.893614634,-0.048849728,-0.759324467,0.47244912,,,,,,,
PIP5K1A,0.902679358,-0.044466489,-0.759128577,0.472559028,,,,,,,
PPEF1,1.054372545,0.022994089,0.758975052,0.472645178,,,,,,,
NAPG,1.355707185,0.132165898,0.758736522,0.472779049,,,,,,,
CPNE7,0.937776742,-0.027900542,-0.758442403,0.472944155,,,,,,,
PHLDB1,1.068810215,0.028900596,0.758302373,0.473022775,,,,,,,
CFI,0.760527873,-0.118884865,-0.757971241,0.473208725,,,,,,,
UNC119,0.905197203,-0.043256797,-0.757866267,0.473267684,,,,,,,
TMEM38B,0.914241566,-0.038939037,-0.757721314,0.473349106,,,,,,,
WWTR1,0.832512315,-0.079609333,-0.757645526,0.473391681,,,,,,,
MORC2,0.908861292,-0.041502392,-0.757421262,0.473517679,,,,,,,
AGPAT4,1.115183838,0.047346467,0.757416306,0.473520464,,,,,,,
MGARP,1.358454485,0.133045092,0.757331505,0.473568114,,,,,,,
GALNT1,0.852908231,-0.069097694,-0.757316785,0.473576386,,,,,,,
ANPEP,1.017943699,0.007723758,0.757238164,0.473620566,,,,,,,
CHTOP,1.00842815,0.00364496,0.757055161,0.473723414,,,,,,,
RBMX,1.009780893,0.004227149,0.75703471,0.473734909,,,,,,,
ZNF512,1.064410453,0.027109131,0.756941732,0.47378717,,,,,,,
CEP83,0.910284972,-0.040822627,-0.756580659,0.473990156,,,,,,,
SLC6A13,1.260212737,0.100443865,0.756057999,0.474284088,,,,,,,
ELP4,0.965231359,-0.015368577,-0.756013464,0.474309139,,,,,,,
CHID1,0.858458375,-0.066280758,-0.755710304,0.474479691,,,,,,,
PYM1,0.863756705,-0.063608568,-0.755694045,0.474488839,,,,,,,
NTHL1,0.967984477,-0.014131607,-0.755518291,0.474587736,,,,,,,
PPP1R13B,0.868268896,-0.061345757,-0.755517657,0.474588092,,,,,,,
CCDC80,0.899619942,-0.045940926,-0.754842625,0.474968059,,,,,,,
CYP46A1,1.16741501,0.067225273,0.754814026,0.474984161,,,,,,,
GSN,1.131785561,0.053764149,0.754468148,0.475178936,,,,,,,
TUBGCP2,0.911937378,-0.040034983,-0.75417043,0.475346633,,,,,,,
MTMR10,1.129318609,0.052816484,0.754145036,0.475360938,,,,,,,
IL16,1.07020578,0.029467292,0.753905121,0.475496108,,,,,,,
DHRS7B,0.910839682,-0.040558057,-0.753825598,0.475540918,,,,,,,
VPS41,0.942333367,-0.025795431,-0.753749457,0.475583824,,,,,,,
BTN3A3,0.949162819,-0.022659283,0.753562748,0.475689048,,,,,,,
PIN4,1.087219394,0.036317191,0.753542441,0.475700493,,,,,,,
TRMT1,1.115454717,0.047451944,0.753427092,0.475765509,,,,,,,
MAPKAPK2,0.901345932,-0.045108497,-0.753287928,0.475843957,,,,,,,
CEP85L,1.241238008,0.093855066,0.752347287,0.47637443,,,,,,,
WNK3,0.862974666,-0.064001954,-0.751655226,0.47676497,,,,,,,
GPLD1,0.846455463,-0.072395888,-0.751651144,0.476767274,,,,,,,
ALDH1L1,1.088328289,0.036759918,0.751638331,0.476774507,,,,,,,
USO1,0.848430297,-0.071383832,-0.751559216,0.476819167,,,,,,,
EIF3L,0.88913551,-0.051032045,-0.751138052,0.477056959,,,,,,,
SLC4A1,1.088568598,0.036855802,-0.750986608,0.477142485,,,,,,,
FKBP2,1.072509592,0.030401185,0.750895588,0.477193892,,,,,,,
POLR2D,1.005814013,0.002517682,0.750745855,0.477278468,,,,,,,
KYNU,1.088678219,0.036899534,0.749701373,0.477868718,,,,,,,
ACE,0.821697776,-0.085287889,-0.749645698,0.477900194,,,,,,,
ICAM1,1.034978217,0.014931209,0.749630223,0.477908943,,,,,,,
OGDHL,0.724978501,-0.139674872,-0.749557934,0.477949815,,,,,,,
CCNT1,2.109937442,0.324269579,0.749365177,0.47805881,,,,,,,
RBMXL1,1.025519262,0.010943822,0.749330679,0.478078319,,,,,,,
ASCC3,0.919546613,-0.036426251,-0.749213577,0.478144544,,,,,,,
PRKAR1A,1.103263785,0.042679362,0.749205558,0.47814908,,,,,,,
ADAMTSL1,1.273668506,0.10505641,0.749128865,0.478192456,,,,,,,
SLC25A42,0.86923212,-0.060864234,-0.748949797,0.478293745,,,,,,,
ACY3,1.147447809,0.059732941,0.748937849,0.478300504,,,,,,,
DNLZ,1.048285048,0.020479391,0.748776388,0.478391846,,,,,,,
VIT,1.052092414,0.022053889,0.748601099,0.478491025,,,,,,,
SAMD4B,1.062241294,0.02622318,0.74847146,0.478564383,,,,,,,
SERPING1,0.751667929,-0.123973979,-0.748197024,0.478719703,,,,,,,
THOC7,1.06446703,0.027132214,0.747595347,0.479060346,,,,,,,
CASP4,0.855683891,-0.067686644,-0.746854336,0.479480096,,,,,,,
EXOC1,0.924502029,-0.034092132,-0.746795746,0.479513295,,,,,,,
PLCXD3,1.224134786,0.08782924,0.74650064,0.479680536,,,,,,,
ADIPOR1,0.891823953,-0.049720867,-0.746445781,0.47971163,,,,,,,
ANKZF1,0.975049321,-0.010973416,-0.746311631,0.479787671,,,,,,,
GALM,0.890276557,-0.050475063,-0.745861034,0.480043144,,,,,,,
ARHGAP1,0.898716609,-0.046377232,-0.745578823,0.480203195,,,,,,,
PHC2,0.941399727,-0.026225932,-0.745490658,0.480253203,,,,,,,
UACA,0.836736958,-0.077411048,-0.745400623,0.480304275,,,,,,,
HSD17B14,0.79509922,-0.099578672,-0.745059411,0.480497862,,,,,,,
PLGRKT,1.060726951,0.025603604,0.744650627,0.480729854,,,,,,,
NRGN,2.123062759,0.326962832,0.74447369,0.480830292,,,,,,,
MAP3K20,0.926001128,-0.033388484,-0.744417759,0.480862044,,,,,,,
PABIR2,0.85334017,-0.06887781,-0.744065307,0.481062164,,,,,,,
C3orf33,0.708048335,-0.149937094,-0.743877183,0.481169002,,,,,,,
STX7,0.91803802,-0.037139332,-0.74382254,0.481200037,,,,,,,
USP19,0.953679232,-0.020597675,-0.743599318,0.481326834,,,,,,,
PEX11B,0.841327695,-0.075034815,-0.743409236,0.481434824,,,,,,,
MTUS1,0.960183822,-0.017645616,-0.742933448,0.4817052,,,,,,,
TIMM9,1.1294273,0.052858281,0.742367782,0.482026783,,,,,,,
LPA,0.650730957,-0.186598532,-0.74224051,0.482099158,,,,,,,
SGK3,0.88300125,-0.054038681,-0.742232115,0.482103932,,,,,,,
DGLUCY,0.751398199,-0.12412985,-0.741819035,0.482338885,,,,,,,
HLA-DQB1,0.921651066,-0.03543347,-0.741783558,0.482359067,,,,,,,
TBPL2,1.275679621,0.105741618,0.741461275,0.482542434,,,,,,,
COL4A4,0.999345364,-0.000284398,0.740584382,0.48304159,,,,,,,
TIMM8A,1.103501714,0.042773012,0.740498089,0.483090729,,,,,,,
ARHGAP31,1.127846926,0.05225016,0.740190157,0.483266107,,,,,,,
SF3A3,0.85106548,-0.070037025,-0.740076462,0.483330872,,,,,,,
RCHY1,0.942579913,-0.025681819,-0.739411878,0.483709553,,,,,,,
LGALS1,1.125717851,0.051429553,0.739186228,0.483838174,,,,,,,
INHBC,0.847166207,-0.072031376,-0.739150534,0.483858522,,,,,,,
RRP9,0.941015662,-0.026403148,-0.73900883,0.483939307,,,,,,,
CIB1,1.14683773,0.059501972,0.738996106,0.483946562,,,,,,,
LYAR,1.110886627,0.045669739,0.73896867,0.483962205,,,,,,,
MFN1,1.153274261,0.0619326,0.738716281,0.484106118,,,,,,,
EZR,0.960215368,-0.017631348,-0.738658773,0.484138914,,,,,,,
ANK1,1.071314388,0.029916938,-0.738604788,0.484169701,,,,,,,
SF3B1,0.885910267,-0.052610265,-0.738105773,0.484454351,,,,,,,
CLYBL,0.78625686,-0.104435552,-0.737541889,0.484776138,,,,,,,
NAPEPLD,1.416162069,0.151112958,0.737399931,0.48485717,,,,,,,
NBPF6,1.577072716,0.197851718,0.737343661,0.484889292,,,,,,,
LFNG,0.843396249,-0.073968335,-0.737036772,0.485064509,,,,,,,
PLAA,0.925336848,-0.033700143,-0.736094774,0.485602599,,,,,,,
AKAP8L,1.094955092,0.039396308,0.736017431,0.485646797,,,,,,,
EIF3F,0.909721613,-0.041091487,-0.735986979,0.485664199,,,,,,,
TRAPPC12,0.877910683,-0.056549666,-0.735805544,0.485767893,,,,,,,
RBP1,0.838773524,-0.076355287,-0.735698448,0.485829108,,,,,,,
FLYWCH2,0.987739317,-0.005357659,0.73569823,0.485829232,,,,,,,
SEPTIN11,1.185650758,0.073956783,0.735605075,0.485882483,,,,,,,
ZCCHC24,1.039073806,0.016646397,0.735389374,0.486005798,,,,,,,
VPS35,0.926087417,-0.033348017,-0.73525067,0.486085107,,,,,,,
SELENOT,1.128035411,0.052322733,0.734995272,0.48623116,,,,,,,
ADCK1,0.893687335,-0.048814397,-0.734775897,0.486356636,,,,,,,
UBR4,0.949361145,-0.022568547,-0.734465954,0.486533952,,,,,,,
CD48,0.945489245,-0.024343407,-0.732840596,0.487464504,,,,,,,
SND1,0.908762088,-0.041549799,-0.732716485,0.487535608,,,,,,,
RSRC1,1.044985345,0.0191102,0.732328028,0.487758204,,,,,,,
USP48,0.905813184,-0.042961363,-0.731970385,0.487963202,,,,,,,
CTSF,0.872282299,-0.05934294,-0.731854972,0.488029368,,,,,,,
SNX17,0.893962195,-0.048680847,-0.731744795,0.488092538,,,,,,,
CDC37,1.072335006,0.030330483,0.731402517,0.488288817,,,,,,,
ZNF143,1.033351736,0.014248173,0.73117088,0.488421678,,,,,,,
CMA1,0.920031609,-0.036197252,-0.731146466,0.488435682,,,,,,,
TUBG2,1.060506706,0.025513419,0.73106951,0.488479829,,,,,,,
GNGT2,1.079429735,0.033194377,0.731055916,0.488487627,,,,,,,
PIP5K1C,1.150958876,0.061059806,0.730552487,0.48877649,,,,,,,
ACTA2,0.849455314,-0.070859462,-0.730547937,0.488779102,,,,,,,
SAFB2,1.04330201,0.018410044,0.730519179,0.488795606,,,,,,,
TCOF1,1.019834583,0.008529735,0.730381619,0.488874558,,,,,,,
TGFBRAP1,1.156107958,0.062998391,0.729896684,0.489152953,,,,,,,
EIF3M,0.92731882,-0.032770926,-0.729849377,0.489180117,,,,,,,
TGFBR2,1.112392558,0.046258075,0.729779531,0.489220225,,,,,,,
TCERG1,0.982319335,-0.007747308,0.729602741,0.489321753,,,,,,,
PRCP,1.07976016,0.033327299,0.729226332,0.489537966,,,,,,,
SETMAR,0.948577514,-0.022927174,-0.729174056,0.489567999,,,,,,,
HERC2,1.004559995,0.001975879,-0.728996106,0.489670241,,,,,,,
SERBP1,1.010872617,0.004696432,0.728365216,0.490032836,,,,,,,
APOE,0.713028311,-0.146893226,-0.728204662,0.490125141,,,,,,,
ALOX12B,1.313341204,0.11837757,0.728117232,0.49017541,,,,,,,
PARK7,1.087793628,0.036546511,0.728033436,0.490223593,,,,,,,
SLC45A1,0.930334347,-0.031360945,-0.727854005,0.490326777,,,,,,,
EFHC1,0.914417836,-0.038855311,-0.727828406,0.490341499,,,,,,,
OSBPL11,1.014211886,0.006128696,-0.727746783,0.490388444,,,,,,,
SMC5,0.957060912,-0.019060421,-0.727663139,0.490436553,,,,,,,
HASPIN,0.996687371,-0.001441045,-0.727228176,0.490686781,,,,,,,
NDRG3,1.212908871,0.083828172,0.727160362,0.490725801,,,,,,,
MAGED1,1.044076274,0.018732227,0.726692945,0.490994807,,,,,,,
PCNP,1.013405642,0.005783318,0.726692143,0.490995268,,,,,,,
