,FC_ad_adnc,LOG10 FC,t_ad_adnc,p_ad_adnc,,,,,,,,,,,,,,,
SPTB,0.852005934,-0.06955738,-1.927714938,0.077890183,,,,,,,,,,,,,,,
EIF2A,0.912233128,-0.03989416,-1.212067544,0.248811837,,,,,,,,,,,,,,,
MCRIP1,1.115049818,0.047294271,1.576719926,0.140843526,,,,,,,,,,,,,,,
RABIF,1.100499161,0.041589716,0.982706065,0.345150925,,,,,,,,,,,,,,,
GEM,0.880406386,-0.055316816,-1.263889035,0.230270237,,,,,,,,,,,,,,,
PRPF38A,0.943822656,-0.025109602,-0.96584945,0.353181909,,,,,,,,,,,,,,,
CLIP3,1.123076923,0.050409503,0.663967066,0.519265243,,,,,,,,,,,,,,,
XRN2,0.93023661,-0.031406573,-1.0265691,0.324872449,,,,,,,,,,,,,,,
PEX12,0.981623107,-0.008055227,-1.123951655,0.28301517,,,,,,,,,,,,,,,
ARID1A,0.902478059,-0.044563348,-1.521805813,0.153963718,,,,,,,,,,,,,,,
GPT,1.175856135,0.070354189,1.025522441,0.325345948,,,,,,,,,,,,,,,
DPH6,0.907287059,-0.042255283,-0.952469392,0.359650884,,,,,,,,,,,,,,,
TRAPPC13,1.001834839,0.00079613,-0.730161831,0.479303793,,,,,,,,,,,,,,,
ERCC3,0.962892421,-0.016422232,-1.177289037,0.261903264,,,,,,,,,,,,,,,
NPRL2,0.887162184,-0.051996979,-2.295969766,0.040491852,,,,,,,,,,,,,,,
VPS52,0.980808244,-0.008415892,-0.23532529,0.817924258,,,,,,,,,,,,,,,
GAK,0.949613868,-0.022452952,-1.081519194,0.300721784,,,,,,,,,,,,,,,
WASHC5,0.936440508,-0.028519808,-0.629745465,0.540666446,,,,,,,,,,,,,,,
RSRC2,0.907934257,-0.041945598,-0.985340739,0.343907649,,,,,,,,,,,,,,,
ACTN3,1.061538462,0.025935734,0.318120675,0.755861463,,,,,,,,,,,,,,,
RPL18,0.97967171,-0.008919433,-0.605519381,0.55611325,,,,,,,,,,,,,,,
SRGAP2,1.068784195,0.028890023,1.736656749,0.108023284,,,,,,,,,,,,,,,
MASP1,0.969127862,-0.01361892,-1.002822258,0.33574008,,,,,,,,,,,,,,,
PRKDC,0.924795223,-0.033954422,-1.333662533,0.207076223,,,,,,,,,,,,,,,
VPS33B,0.950730175,-0.021942722,-0.794818508,0.442155933,,,,,,,,,,,,,,,
CFAP300,0.846480252,-0.072383169,-1.560002248,0.144731447,,,,,,,,,,,,,,,
GSR,1.036672489,0.015641574,0.118153808,0.907900523,,,,,,,,,,,,,,,
SAMD1,0.815394124,-0.088632423,-1.023619667,0.326208041,,,,,,,,,,,,,,,
STXBP3,1.13227689,0.053952643,1.553690782,0.146223209,,,,,,,,,,,,,,,
STRIP1,0.96642112,-0.014833588,-0.588226294,0.56728664,,,,,,,,,,,,,,,
MYRIP,1.083553864,0.034850505,0.207967564,0.8387421,,,,,,,,,,,,,,,
GARS1,1.142300035,0.05778019,1.714750743,0.11207556,,,,,,,,,,,,,,,
IPO13,0.881316796,-0.054867953,-1.100268136,0.292797535,,,,,,,,,,,,,,,
PTCD1,0.899734614,-0.045885571,-1.50643038,0.157820274,,,,,,,,,,,,,,,
CSNK1E,1.111178644,0.045783886,1.592832313,0.137182403,,,,,,,,,,,,,,,
MYO19,0.867001361,-0.061980221,-1.531226601,0.151640873,,,,,,,,,,,,,,,
TUT4,1.227135788,0.088892622,0.365071477,0.72141127,,,,,,,,,,,,,,,
SYNE1,0.961457169,-0.017070058,-0.64907208,0.528519154,,,,,,,,,,,,,,,
MOB2,1.099162007,0.041061709,1.678669876,0.119045043,,,,,,,,,,,,,,,
ATP6V0A2,0.912379157,-0.039824645,-1.52913778,0.152153292,,,,,,,,,,,,,,,
MTCH2,1.140323564,0.057028099,1.228391336,0.242847738,,,,,,,,,,,,,,,
PPP2R5B,0.878241758,-0.056385917,-0.802571093,0.43782943,,,,,,,,,,,,,,,
CTIF,0.94897182,-0.022746684,-0.597457352,0.561307179,,,,,,,,,,,,,,,
RPL10A,0.894708435,-0.048318468,-1.311486977,0.214232033,,,,,,,,,,,,,,,
SLC25A15,0.901614555,-0.044979086,-1.618813356,0.131453262,,,,,,,,,,,,,,,
EIF2B4,0.902798544,-0.04440915,-1.127406378,0.28160932,,,,,,,,,,,,,,,
CNN2,0.922404461,-0.035078606,-0.74609872,0.469972106,,,,,,,,,,,,,,,
KLHL42,0.990614497,-0.004095321,0.188670366,0.853504362,,,,,,,,,,,,,,,
HBQ1,0.796213308,-0.098970568,-1.871798705,0.085802126,,,,,,,,,,,,,,,
SERPIND1,0.639695016,-0.194027033,-1.718494743,0.111373531,,,,,,,,,,,,,,,
DAPK3,1.045791971,0.019445303,0.635638402,0.53694593,,,,,,,,,,,,,,,
C1orf122,0.917499167,-0.037394321,-1.432481556,0.177538016,,,,,,,,,,,,,,,
HOATZ,0.949224512,-0.022631056,-0.946956506,0.362340554,,,,,,,,,,,,,,,
SDHAF2,1.140045854,0.05692232,1.166681224,0.266001569,,,,,,,,,,,,,,,
LSM1,1.065469537,0.027541037,0.720647212,0.48492906,,,,,,,,,,,,,,,
SLC25A33,0.860060294,-0.065471102,-1.615071774,0.132265232,,,,,,,,,,,,,,,
PTPN1,0.850484853,-0.070333417,-1.401019575,0.186535185,,,,,,,,,,,,,,,
NAXD,1.125030873,0.05116444,1.351539872,0.2014509,,,,,,,,,,,,,,,
TALDO1,1.180403087,0.072030336,1.310438019,0.214575449,,,,,,,,,,,,,,,
POGLUT2,0.870324344,-0.060318868,-1.368349686,0.196276773,,,,,,,,,,,,,,,
TLK2,1.047317144,0.020078213,0.048755172,0.961916488,,,,,,,,,,,,,,,
GNG5,1.026451829,0.011338573,0.947617597,0.362017267,,,,,,,,,,,,,,,
GC,0.552131244,-0.257957676,-1.70348252,0.114212235,,,,,,,,,,,,,,,
CLDN4,1.042780749,0.018193005,-0.022125805,0.98271126,,,,,,,,,,,,,,,
OSBPL6,1.142561342,0.057879526,1.155595655,0.270337509,,,,,,,,,,,,,,,
PRPF8,0.92969399,-0.031659977,-1.325006291,0.2098459,,,,,,,,,,,,,,,
DAO,0.899458288,-0.046018972,-0.946042345,0.362787934,,,,,,,,,,,,,,,
PLPP5,1.02493735,0.01069732,-0.65057319,0.527582268,,,,,,,,,,,,,,,
ARHGAP9,0.917184568,-0.037543261,-0.653753818,0.525600308,,,,,,,,,,,,,,,
FER1L5,0.861201132,-0.064895408,-1.300165377,0.217962294,,,,,,,,,,,,,,,
BPIFB6,1.1037792,0.042882206,0.535312696,0.602213321,,,,,,,,,,,,,,,
CRELD2,0.809048682,-0.092025345,-1.701955419,0.114504569,,,,,,,,,,,,,,,
IRF2,1.040389972,0.017196158,0.336838631,0.742056377,,,,,,,,,,,,,,,
ARAP1,0.850932083,-0.070105102,-1.612151174,0.13290208,,,,,,,,,,,,,,,
MICAL2,1.108078323,0.044570459,1.696385241,0.115576507,,,,,,,,,,,,,,,
POLD2,0.927549195,-0.032663047,-1.898674823,0.081911864,,,,,,,,,,,,,,,
GRN,0.786998727,-0.10402597,-1.227059244,0.243330149,,,,,,,,,,,,,,,
SCGB1A1,0.650582751,-0.186697456,-1.11141202,0.288163084,,,,,,,,,,,,,,,
EIF3D,0.897576934,-0.046928317,-1.684867154,0.117821327,,,,,,,,,,,,,,,
TBK1,0.964307798,-0.015784321,-0.848698058,0.412659586,,,,,,,,,,,,,,,
EIF4G3,0.89192987,-0.049669292,-1.256656538,0.232789648,,,,,,,,,,,,,,,
NAXE,1.059934687,0.025279105,1.200607846,0.253067416,,,,,,,,,,,,,,,
IGHG1,0.631246213,-0.199801214,-1.436450056,0.176429438,,,,,,,,,,,,,,,
RTL8C,1.026345502,0.011293584,0.554277162,0.589569804,,,,,,,,,,,,,,,
PDLIM2,0.785808085,-0.104683507,-1.468277561,0.167747701,,,,,,,,,,,,,,,
ERICH1,0.792554384,-0.100970927,-2.091553275,0.058414132,,,,,,,,,,,,,,,
ESF1,0.898785425,-0.046343979,-1.01998183,0.327860906,,,,,,,,,,,,,,,
GBE1,0.761283027,-0.118453853,-1.388821604,0.190124306,,,,,,,,,,,,,,,
RETN,0.727494288,-0.138170412,-1.18393133,0.259362198,,,,,,,,,,,,,,,
ATP1A2,1.381105634,0.140226897,0.948313834,0.361677014,,,,,,,,,,,,,,,
H6PD,0.796056812,-0.099055937,-1.501773308,0.159004563,,,,,,,,,,,,,,,
NDUFA4L2,1.065575284,0.027584138,0.46992133,0.646835964,,,,,,,,,,,,,,,
C1D,0.923502383,-0.03456198,-0.676359483,0.511638583,,,,,,,,,,,,,,,
BAIAP2L1,0.761082138,-0.11856847,-1.650179572,0.124816279,,,,,,,,,,,,,,,
CRP,0.888199576,-0.051489438,0.009869221,0.992287807,,,,,,,,,,,,,,,
EIF5B,0.932455498,-0.030371886,-0.701490658,0.496376586,,,,,,,,,,,,,,,
TCTN1,0.882134991,-0.054464951,-1.509196572,0.157120408,,,,,,,,,,,,,,,
ASF1A,0.921088499,-0.03569864,-1.203585678,0.251956125,,,,,,,,,,,,,,,
SNRPD1,1.108790555,0.044849518,0.231320181,0.820963317,,,,,,,,,,,,,,,
PPIC,0.702423265,-0.153401112,-1.37592965,0.193979807,,,,,,,,,,,,,,,
CPT1A,1.041805654,0.01778671,-0.037838626,0.970438549,,,,,,,,,,,,,,,
TRAPPC11,0.916640883,-0.037800777,-1.276184042,0.22603758,,,,,,,,,,,,,,,
ADNP,0.899882959,-0.045813972,-1.501520252,0.159069131,,,,,,,,,,,,,,,
MTA3,0.832466466,-0.079633252,-1.904825676,0.081044512,,,,,,,,,,,,,,,
RNF121,0.916049793,-0.038080919,-1.122754879,0.28350343,,,,,,,,,,,,,,,
SOSTDC1,0.736763063,-0.132672155,-1.062571049,0.308892995,,,,,,,,,,,,,,,
ERAL1,1.111575232,0.045938861,0.189129011,0.853152804,,,,,,,,,,,,,,,
PRKN,0.96696963,-0.014587166,-1.163496268,0.26724175,,,,,,,,,,,,,,,
KIAA2013,1.001474394,0.00063985,-0.349694825,0.732628186,,,,,,,,,,,,,,,
FUNDC1,0.820622225,-0.085856725,-1.310822281,0.214449595,,,,,,,,,,,,,,,
MYO7A,0.867818215,-0.061571239,-1.176641085,0.262152179,,,,,,,,,,,,,,,
CAMSAP2,1.056081153,0.023697292,1.207136608,0.250635983,,,,,,,,,,,,,,,
WDR59,0.972504322,-0.01210846,-1.042203435,0.317859841,,,,,,,,,,,,,,,
IGKV1D-13,0.873491829,-0.058741153,-0.615683995,0.549602654,,,,,,,,,,,,,,,
NCF2,0.830125811,-0.080856082,-1.117618199,0.285606404,,,,,,,,,,,,,,,
C5,0.727085232,-0.138414676,-1.515279277,0.155590771,,,,,,,,,,,,,,,
TRAM1,0.843381354,-0.073976005,-1.560525125,0.144608453,,,,,,,,,,,,,,,
SCARB2,0.906599194,-0.042584672,-1.490985088,0.161777159,,,,,,,,,,,,,,,
SLC25A20,1.0222156,0.009542504,0.317600662,0.756246275,,,,,,,,,,,,,,,
SLC43A2,0.885992861,-0.052569777,-1.559274712,0.144902732,,,,,,,,,,,,,,,
PCDH10,0.806425737,-0.09343562,-1.454583551,0.17143779,,,,,,,,,,,,,,,
C1S,0.662914785,-0.178542295,-1.211147439,0.249151423,,,,,,,,,,,,,,,
EPB41L2,1.197044297,0.078110222,1.191429307,0.256516981,,,,,,,,,,,,,,,
NSFL1C,0.866878783,-0.062041626,-1.587769669,0.138323744,,,,,,,,,,,,,,,
EPB41,0.869991162,-0.060485159,-1.827511991,0.092580901,,,,,,,,,,,,,,,
FBXO6,1.025057577,0.01074826,0.725504823,0.482052091,,,,,,,,,,,,,,,
STOM,0.860496951,-0.065250664,-2.020345974,0.066244511,,,,,,,,,,,,,,,
PPP6R1,0.955128733,-0.01993809,-0.895012367,0.388380449,,,,,,,,,,,,,,,
PARP1,1.043046237,0.018303561,0.918574613,0.37641238,,,,,,,,,,,,,,,
CPSF4,1.028644401,0.012265267,0.135432721,0.894515042,,,,,,,,,,,,,,,
EPB42,0.847352658,-0.071935804,-1.739963759,0.107423026,,,,,,,,,,,,,,,
AP3B1,0.898867949,-0.046304105,-1.339651427,0.20517757,,,,,,,,,,,,,,,
RBP4,0.815786862,-0.088423293,-0.96870366,0.351812766,,,,,,,,,,,,,,,
RPS15A,0.875696826,-0.057646224,-1.781074587,0.100206162,,,,,,,,,,,,,,,
TMEM177,1.125259516,0.051252694,1.15267364,0.271489471,,,,,,,,,,,,,,,
DOHH,0.897405358,-0.047011342,-0.643879763,0.531767196,,,,,,,,,,,,,,,
CDH23,0.56471464,-0.248170953,-1.775926151,0.101085471,,,,,,,,,,,,,,,
WNT2B,1.161515126,0.06502487,0.707037588,0.493045206,,,,,,,,,,,,,,,
KPNA3,1.154784587,0.062500979,2.171285145,0.050678234,,,,,,,,,,,,,,,
IGLL5,0.695767834,-0.157535653,-0.895316953,0.388224086,,,,,,,,,,,,,,,
NUDT16,1.099108174,0.041040438,1.210708174,0.249313672,,,,,,,,,,,,,,,
TCF25,1.023735274,0.010187668,0.194242706,0.849235326,,,,,,,,,,,,,,,
IFT74,0.923129119,-0.03473755,-1.506014578,0.157925705,,,,,,,,,,,,,,,
VNN1,0.754912318,-0.122103488,-1.958369142,0.073842258,,,,,,,,,,,,,,,
PABPN1,1.077881898,0.032571178,0.30274442,0.767268418,,,,,,,,,,,,,,,
VLDLR,0.89154865,-0.049854953,-1.25645625,0.23285973,,,,,,,,,,,,,,,
PDZRN3,1.021955985,0.009432191,-0.261099039,0.798443215,,,,,,,,,,,,,,,
CLASP1,1.113758314,0.046790959,1.740602096,0.107307504,,,,,,,,,,,,,,,
PRKCD,0.875886529,-0.057552153,-0.932406483,0.369507493,,,,,,,,,,,,,,,
WDR35,0.887649552,-0.051758462,-1.746581365,0.106230796,,,,,,,,,,,,,,,
CYBA,1.057286851,0.024192831,0.570804605,0.57866478,,,,,,,,,,,,,,,
NCOA2,1.071878941,0.030145738,0.415044272,0.685433771,,,,,,,,,,,,,,,
SEC63,0.986024664,-0.006112222,-0.82394127,0.426046345,,,,,,,,,,,,,,,
HSPA8,1.091654203,0.038085091,0.920910627,0.375239966,,,,,,,,,,,,,,,
MAST4,1.04708743,0.019982946,0.309949922,0.761915697,,,,,,,,,,,,,,,
PLCB4,0.886504236,-0.052319185,-1.832244723,0.091833982,,,,,,,,,,,,,,,
CES2,0.792111291,-0.101213796,-1.474704831,0.166039089,,,,,,,,,,,,,,,
NKIRAS1,1.096261106,0.039914006,0.726002743,0.481757787,,,,,,,,,,,,,,,
RAB11B,0.964167113,-0.015847686,-1.233634069,0.240956472,,,,,,,,,,,,,,,
MME,0.801518502,-0.096086448,-1.865245324,0.086775911,,,,,,,,,,,,,,,
CLCN3,0.921951659,-0.03529185,-1.312980231,0.213743932,,,,,,,,,,,,,,,
RPRD2,0.935994382,-0.028726758,-1.944082879,0.075704068,,,,,,,,,,,,,,,
ATP11C,0.949593439,-0.022462295,-0.879883471,0.396201532,,,,,,,,,,,,,,,
UROS,0.86342192,-0.06377693,-0.78688172,0.446613748,,,,,,,,,,,,,,,
SNX16,1.388794837,0.142638093,0.469878198,0.646865903,,,,,,,,,,,,,,,
SYTL3,0.792852816,-0.100807427,-1.230977453,0.241913354,,,,,,,,,,,,,,,
NAALAD2,1.017133327,0.007377884,0.263845856,0.796375111,,,,,,,,,,,,,,,
FHIP1A,0.832209149,-0.079767514,-1.307330306,0.215595506,,,,,,,,,,,,,,,
EXOSC1,0.893932394,-0.048695325,-1.968908734,0.072495865,,,,,,,,,,,,,,,
SRSF5,0.82917923,-0.081351585,-0.859005912,0.407169592,,,,,,,,,,,,,,,
IFT22,0.874517749,-0.058231372,-1.527447899,0.152568933,,,,,,,,,,,,,,,
CA1,0.816848581,-0.087858441,-2.024639987,0.065745917,,,,,,,,,,,,,,,
ECPAS,0.878237061,-0.05638824,-1.543793494,0.148589223,,,,,,,,,,,,,,,
MTHFD1L,0.939173745,-0.027254057,-1.752920232,0.105099891,,,,,,,,,,,,,,,
PRRC2C,0.751913942,-0.123831862,-1.731296349,0.109002616,,,,,,,,,,,,,,,
FBXO4,0.8293627,-0.081255501,-1.655197426,0.123782287,,,,,,,,,,,,,,,
PDCD4,0.879654246,-0.055687997,-1.232360674,0.241414758,,,,,,,,,,,,,,,
EXD2,1.108721395,0.044822428,0.583662773,0.570255365,,,,,,,,,,,,,,,
GDPGP1,0.90436906,-0.043654304,-1.259325148,0.23185749,,,,,,,,,,,,,,,
FARSB,0.812359647,-0.090251658,-2.769067549,0.01699124,,,,,,,,,,,,,,,
SLC12A1,1.008265565,0.003574935,0.010932539,0.991456924,,,,,,,,,,,,,,,
EIF4A1,0.896051711,-0.047666927,-1.549205363,0.147291422,,,,,,,,,,,,,,,
FRMD4A,0.85104185,-0.070049083,-1.887178362,0.083555808,,,,,,,,,,,,,,,
TOM1,0.982394463,-0.007714094,-0.477937118,0.641283334,,,,,,,,,,,,,,,
MIER1,1.015069329,0.006495706,-0.111181515,0.913310381,,,,,,,,,,,,,,,
RBSN,1.112237352,0.046197476,1.232600098,0.241328539,,,,,,,,,,,,,,,
WDR81,0.869935391,-0.060513001,-1.496490976,0.160357028,,,,,,,,,,,,,,,
TUBGCP3,0.959017635,-0.018173407,-1.016178086,0.329595702,,,,,,,,,,,,,,,
CAPN7,0.966864399,-0.014634431,-1.532408077,0.151351696,,,,,,,,,,,,,,,
PNP,0.930639992,-0.031218289,-1.17833864,0.261500442,,,,,,,,,,,,,,,
TMEM192,0.940351497,-0.02670978,-0.892322767,0.38976307,,,,,,,,,,,,,,,
AKT1S1,0.94882317,-0.022814719,-0.771539745,0.45531229,,,,,,,,,,,,,,,
IGHV2-26,0.487874086,-0.31169225,-2.003008817,0.068293492,,,,,,,,,,,,,,,
SPAG6,0.89907471,-0.046204218,-0.974519624,0.349034647,,,,,,,,,,,,,,,
SRGN,0.894190761,-0.048569822,-0.777402126,0.451975801,,,,,,,,,,,,,,,
C1R,0.674871263,-0.170779064,-1.199987071,0.253299567,,,,,,,,,,,,,,,
CHMP5,1.029834807,0.012767566,0.705609552,0.493901562,,,,,,,,,,,,,,,
CMKLR2,0.922517483,-0.035025395,-1.029796364,0.323415653,,,,,,,,,,,,,,,
PSME3IP1,0.82910619,-0.081389842,-1.734463196,0.108423088,,,,,,,,,,,,,,,
TFIP11,0.868080069,-0.061440215,-1.868968108,0.086221505,,,,,,,,,,,,,,,
NUB1,1.11579818,0.047585649,1.442677085,0.174701689,,,,,,,,,,,,,,,
GPR179,0.915315626,-0.038429123,-0.519070161,0.613150808,,,,,,,,,,,,,,,
VMP1,1.019574488,0.00841896,-0.944883306,0.363355715,,,,,,,,,,,,,,,
SNRNP200,0.937767523,-0.027904812,-1.175431628,0.262617295,,,,,,,,,,,,,,,
GLCE,0.951452084,-0.021613078,-1.049571787,0.314593911,,,,,,,,,,,,,,,
RRBP1,0.833984383,-0.078842082,-1.197169818,0.254355236,,,,,,,,,,,,,,,
ZCCHC3,0.8785004,-0.056258036,-1.135718702,0.278248665,,,,,,,,,,,,,,,
COMMD6,0.903300191,-0.044167898,-1.626152765,0.12987317,,,,,,,,,,,,,,,
RPL19,0.953392471,-0.020728282,-0.838669586,0.418048098,,,,,,,,,,,,,,,
TMEM59,0.180567067,-0.743361456,-2.291556592,0.04081645,,,,,,,,,,,,,,,
FBXL2,0.906777317,-0.042499352,-0.714025459,0.48886773,,,,,,,,,,,,,,,
DOCK4,1.147090536,0.059597697,1.924629827,0.078308669,,,,,,,,,,,,,,,
PGLS,1.031616083,0.013518104,0.708641053,0.49208472,,,,,,,,,,,,,,,
STARD3NL,0.948143875,-0.023125756,-0.814520854,0.431214656,,,,,,,,,,,,,,,
COL2A1,0.991689298,-0.003624374,0.01158483,0.990947223,,,,,,,,,,,,,,,
GRM8,1.210875332,0.083099432,1.191555362,0.256469358,,,,,,,,,,,,,,,
CLEC11A,0.895479277,-0.04794446,-0.561337306,0.584898341,,,,,,,,,,,,,,,
CDR2,0.84390775,-0.073705025,-1.817502204,0.094178783,,,,,,,,,,,,,,,
PPP1CB,1.077332979,0.032349955,1.135091084,0.27850133,,,,,,,,,,,,,,,
PSMF1,0.920939831,-0.035768743,-2.761163307,0.017241956,,,,,,,,,,,,,,,
ARL4C,0.841886513,-0.074746448,-0.990478046,0.341492697,,,,,,,,,,,,,,,
DDAH2,1.053754599,0.022739483,0.856057975,0.408734633,,,,,,,,,,,,,,,
RHOA,1.094981665,0.039406847,1.612399096,0.132847916,,,,,,,,,,,,,,,
PPM1H,1.06808962,0.028607694,0.649748735,0.528096716,,,,,,,,,,,,,,,
IGHV4-30-2,1.287554464,0.109765609,0.823998122,0.426015279,,,,,,,,,,,,,,,
STXBP6,1.612247415,0.207431689,1.218571419,0.246421841,,,,,,,,,,,,,,,
NAGA,0.877886987,-0.056561388,-0.803670667,0.437218021,,,,,,,,,,,,,,,
DOCK5,0.929372977,-0.031809959,-0.476259188,0.642443797,,,,,,,,,,,,,,,
PLEC,1.242360402,0.094247601,1.544925092,0.148317047,,,,,,,,,,,,,,,
ZNF185,0.883177463,-0.053952022,-1.073445059,0.304183618,,,,,,,,,,,,,,,
SELENON,0.779007071,-0.1084586,-1.629654345,0.129125195,,,,,,,,,,,,,,,
BPNT2,0.932690366,-0.030262509,-0.860111026,0.406583936,,,,,,,,,,,,,,,
UBE2B,0.933588657,-0.029844434,-0.585466601,0.569080915,,,,,,,,,,,,,,,
MTERF3,0.846973233,-0.072130314,-2.142217605,0.0533795,,,,,,,,,,,,,,,
PEF1,1.025659545,0.011003226,0.341711793,0.73847736,,,,,,,,,,,,,,,
GSTT1,1.223610147,0.08764307,1.094720127,0.29512577,,,,,,,,,,,,,,,
PRKCZ,0.894210091,-0.048560434,-1.117504076,0.285653261,,,,,,,,,,,,,,,
COCH,1.205624828,0.081212183,0.389022023,0.704074733,,,,,,,,,,,,,,,
KTN1,0.896320119,-0.047536855,-1.083629286,0.299821969,,,,,,,,,,,,,,,
SYNC,0.996061833,-0.001713701,-0.32599568,0.75004234,,,,,,,,,,,,,,,
PDLIM5,0.966259463,-0.01490624,-0.349500935,0.732770044,,,,,,,,,,,,,,,
TTC8,0.929806887,-0.031607241,-1.23014012,0.242215576,,,,,,,,,,,,,,,
NANP,0.813088916,-0.089861959,-1.560610812,0.144588306,,,,,,,,,,,,,,,
SUMF1,0.964813419,-0.015556665,-0.300846424,0.768680477,,,,,,,,,,,,,,,
SULT4A1,1.191852733,0.076222597,0.932969656,0.36922825,,,,,,,,,,,,,,,
BPHL,1.198677943,0.078702514,0.560997122,0.585122983,,,,,,,,,,,,,,,
THOC1,0.980493753,-0.008555169,-1.215070507,0.247706066,,,,,,,,,,,,,,,
ANKRD28,0.915812615,-0.038193379,-1.099207864,0.293241403,,,,,,,,,,,,,,,
FAM81B,0.85757884,-0.066725943,-1.975124761,0.071712446,,,,,,,,,,,,,,,
HAGHL,0.947162061,-0.023575706,-0.099313055,0.922529506,,,,,,,,,,,,,,,
PITPNM1,0.910737969,-0.040606557,-1.072909641,0.304414234,,,,,,,,,,,,,,,
FHL2,0.829256908,-0.081310902,-0.492131127,0.631506512,,,,,,,,,,,,,,,
SNX24,1.47594149,0.169069141,0.347775548,0.734032859,,,,,,,,,,,,,,,
VSIR,1.08326214,0.034733565,0.84429779,0.415018203,,,,,,,,,,,,,,,
SHARPIN,0.89286243,-0.049215451,-1.568598308,0.142720872,,,,,,,,,,,,,,,
S100A13,1.08209207,0.034264215,0.69125844,0.502557295,,,,,,,,,,,,,,,
METAP2,0.945946527,-0.024133413,-0.272009806,0.790237984,,,,,,,,,,,,,,,
SMARCA4,0.919095341,-0.036639435,-1.332877855,0.207326052,,,,,,,,,,,,,,,
RHBDD3,0.966263421,-0.014904461,-0.928215442,0.371590228,,,,,,,,,,,,,,,
GALNT2,0.920981732,-0.035748984,-1.135905935,0.278173323,,,,,,,,,,,,,,,
SERPINA4,0.614569686,-0.211428865,-1.680765009,0.118630086,,,,,,,,,,,,,,,
GSS,1.11419293,0.046960398,0.628111663,0.541700521,,,,,,,,,,,,,,,
PIK3C3,0.967477047,-0.01435933,-0.83502541,0.420017735,,,,,,,,,,,,,,,
KHDRBS3,1.074821621,0.031336394,0.12397404,0.903388237,,,,,,,,,,,,,,,
UBAP1L,0.8547622,-0.068154692,-1.324056208,0.210151727,,,,,,,,,,,,,,,
DHX8,1.0841335,0.035082764,0.518065684,0.613830451,,,,,,,,,,,,,,,
ODF2,0.87955725,-0.055735887,-1.407750816,0.184578883,,,,,,,,,,,,,,,
COL5A3,0.770544229,-0.113202428,-1.403676125,0.185761056,,,,,,,,,,,,,,,
CRIP1,0.983853356,-0.007069628,0.071960471,0.943818828,,,,,,,,,,,,,,,
PCGF5,1.112197195,0.046181795,0.727965381,0.480598807,,,,,,,,,,,,,,,
THNSL1,0.882798591,-0.054138369,-2.101942292,0.057346792,,,,,,,,,,,,,,,
HOMER1,1.006787035,0.002937614,-0.825229235,0.425342912,,,,,,,,,,,,,,,
POLR1F,0.953959484,-0.02047007,-0.894314442,0.388738902,,,,,,,,,,,,,,,
MELTF,0.881780943,-0.054639292,-1.379954077,0.192769353,,,,,,,,,,,,,,,
PEX10,0.960561977,-0.017474609,-0.858380499,0.407501283,,,,,,,,,,,,,,,
SLC35B3,1.186669644,0.074329833,0.701182119,0.496562287,,,,,,,,,,,,,,,
ACSL3,1.068241102,0.028669284,0.917887179,0.376757879,,,,,,,,,,,,,,,
RAB3IP,0.792863103,-0.100801792,-1.3615424,0.198358711,,,,,,,,,,,,,,,
NANS,0.938313763,-0.027651913,-1.443723476,0.17441276,,,,,,,,,,,,,,,
ECM2,0.853309528,-0.068893405,-0.522337274,0.610942831,,,,,,,,,,,,,,,
KCND2,1.034709193,0.014818308,0.034126662,0.973337238,,,,,,,,,,,,,,,
TACC1,0.921408795,-0.035547647,-1.946105976,0.075437815,,,,,,,,,,,,,,,
RHBDF1,1.035552154,0.015171976,0.564388538,0.582885468,,,,,,,,,,,,,,,
TXLNA,0.861803941,-0.064591524,-1.646055215,0.125671834,,,,,,,,,,,,,,,
DNAH17,0.8927094,-0.049289892,-1.367391307,0.196568787,,,,,,,,,,,,,,,
ITGB5,0.887824958,-0.05167265,-1.25979094,0.231695094,,,,,,,,,,,,,,,
ADI1,0.80829563,-0.092429769,-0.900011122,0.385819747,,,,,,,,,,,,,,,
YTHDF1,0.9195977,-0.036402124,-1.394877452,0.188335322,,,,,,,,,,,,,,,
HBZ,1.378805392,0.139502973,0.429941217,0.674857932,,,,,,,,,,,,,,,
F12,0.613368492,-0.212278537,-1.674820918,0.119810702,,,,,,,,,,,,,,,
TAB3,0.850437508,-0.070357594,-2.563760389,0.024829105,,,,,,,,,,,,,,,
CIAO2A,0.830238038,-0.080797373,-1.542338469,0.148939822,,,,,,,,,,,,,,,
MYLK3,1.358673206,0.133115011,0.889686488,0.391121557,,,,,,,,,,,,,,,
B3GLCT,0.895135623,-0.048111159,-1.703770948,0.114157095,,,,,,,,,,,,,,,
CLEC3B,0.911346167,-0.040316629,-0.560096239,0.585718105,,,,,,,,,,,,,,,
HERC5,0.888353615,-0.051414126,-1.561823329,0.144303473,,,,,,,,,,,,,,,
CLC,0.414746544,-0.382217224,-2.509427145,0.027436648,,,,,,,,,,,,,,,
FCAR,1.1019678,0.042168904,0.373313904,0.715426147,,,,,,,,,,,,,,,
NMT1,0.944683247,-0.024713786,-0.859006149,0.407169467,,,,,,,,,,,,,,,
TPGS2,0.766908846,-0.115256253,-1.949062411,0.075050277,,,,,,,,,,,,,,,
DNAJA4,1.192106281,0.076314976,1.337785843,0.205767478,,,,,,,,,,,,,,,
