gene,GO Focus function
EVA1C,Development (apoptosis)
FADD,Development (apoptosis)
FAF1,Development (apoptosis)
FAF2,Development (apoptosis)
FAIM,Development (apoptosis)
FAIM2,Development (apoptosis)
FEM1A,Development (apoptosis)
FEM1B,Development (apoptosis)
FEM1C,Development (apoptosis)
GLIPR1L1,Development (apoptosis)
GSK3A,Development (apoptosis)
GSK3B,Development (apoptosis)
HRK,Development (apoptosis)
HTRA1,Development (apoptosis)
HTRA2,Development (apoptosis)
HTRA3,Development (apoptosis)
HTRA4,Development (apoptosis)
IER2,Development (apoptosis)
IER3,Development (apoptosis)
IER3IP1,Development (apoptosis)
IER5,Development (apoptosis)
JUN,Development (apoptosis)
JUNB,Development (apoptosis)
JUND,Development (apoptosis)
LGALS1,Development (apoptosis)
LGALS12,Development (apoptosis)
LGALS13,Development (apoptosis)
LGALS14,Development (apoptosis)
LGALS16,Development (apoptosis)
LGALS2,Development (apoptosis)
LGALS3,Development (apoptosis)
LGALS3BP,Development (apoptosis)
LGALS4,Development (apoptosis)
LGALS7B,Development (apoptosis)
LGALS8,Development (apoptosis)
LGALS9,Development (apoptosis)
LGALS9B,Development (apoptosis)
LGALS9C,Development (apoptosis)
LGALSL-DT,Development (apoptosis)
MADD,Development (apoptosis)
MYC,Development (apoptosis)
NR4A1,Development (apoptosis)
NR4A3,Development (apoptosis)
PDAP1,Development (apoptosis)
PDCD1,Development (apoptosis)
PDCD1LG2,Development (apoptosis)
PDCD2,Development (apoptosis)
PDCD2L,Development (apoptosis)
PDCD5,Development (apoptosis)
PDCD6,Development (apoptosis)
PDCD6IP,Development (apoptosis)
PDCD7,Development (apoptosis)
PEA15,Development (apoptosis)
PERCC1,Development (apoptosis)
PERP,Development (apoptosis)
PGAM5,Development (apoptosis)
PHLDA1,Development (apoptosis)
PHLDA2,Development (apoptosis)
PHLDA3,Development (apoptosis)
PXDC1,Development (apoptosis)
ST7,Development (apoptosis)
ST7L,Development (apoptosis)
STK24,Development (apoptosis)
STK25,Development (apoptosis)
STK26,Development (apoptosis)
STK3,Development (apoptosis)
STK31,Development (apoptosis)
STK32A,Development (apoptosis)
STK32B,Development (apoptosis)
STK32C,Development (apoptosis)
STK33,Development (apoptosis)
STK35,Development (apoptosis)
STK36,Development (apoptosis)
STK38,Development (apoptosis)
STK38L,Development (apoptosis)
STK39,Development (apoptosis)
STK4,Development (apoptosis)
STK40,Development (apoptosis)
STRADB,Development (apoptosis)
TOB1,Development (apoptosis)
TOB2,Development (apoptosis)
TP53,Development (apoptosis)
TP53AIP1,Development (apoptosis)
TP53BP1,Development (apoptosis)
TP53BP2,Development (apoptosis)
TP53I11,Development (apoptosis)
TP53I13,Development (apoptosis)
TP53INP1,Development (apoptosis)
TP53INP2,Development (apoptosis)
TP53RK,Development (apoptosis)
TP53TG5,Development (apoptosis)
TP73,Development (apoptosis)
TRIM16,Development (apoptosis)
TRIM17,Development (apoptosis)
TRIM29,Development (apoptosis)
VRK1,Development (apoptosis)
VRK2,Development (apoptosis)
VRK3,Development (apoptosis)
YWHAB,Development (apoptosis)
YWHAE,Development (apoptosis)
YWHAG,Development (apoptosis)
YWHAH,Development (apoptosis)
YWHAQ,Development (apoptosis)
YWHAZ,Development (apoptosis)
BNIP1,Development (apoptosis)
BNIP2,Development (apoptosis)
BNIP3,Development (apoptosis)
BNIP3L,Development (apoptosis)
BOK,Development (apoptosis)
CAAP1,Development (apoptosis)
ATF7IP,Development (cell cycle)
BOD1,Development (cell cycle)
BOD1L1,Development (cell cycle)
BOD1L2,Development (cell cycle)
BTG1,Development (cell cycle)
BTG2,Development (cell cycle)
